borough_name,population_density_ha
Barking and Dagenham,59
Barnet,46
Bexley,41
Brent,76
Bromley,22
Camden,128
City of London,38
Croydon,45
Ealing,61
Enfield,41
Greenwich,61
Hackney,147
Hammersmith and Fulham,112
Haringey,90
Harrow,50
Havering,23
Hillingdon,27
Hounslow,49
Islington,167
Kensington and Chelsea,129
Kingston upon Thames,48
Lambeth,120
Lewisham,87
Merton,55
Newham,98
Redbridge,54
Richmond upon Thames,35
Southwark,111
Sutton,47
Tower Hamlets,168
Waltham Forest,71
Wandsworth,96
Westminster,126
