District,Code,All_Households,Working_Households,Non_Working_Households,Non_Working_Proportion
Barking and Dagenham,E09000002,64400.0,30100.0,34300.0,53.2608695652174
Barnet,E09000003,85600.0,36500.0,49100.0,57.359813084112155
Bexley,E09000004,60600.0,26900.0,33700.0,55.61056105610561
Brent,E09000005,76300.0,30600.0,45700.0,59.8951507208388
Bromley,E09000006,77400.0,45000.0,32400.0,41.86046511627907
Camden,E09000007,48400.0,21900.0,26500.0,54.75206611570248
Croydon,E09000008,95100.0,46200.0,48900.0,51.419558359621455
Ealing,E09000009,91700.0,28200.0,63500.0,69.24754634678298
Enfield,E09000010,94100.0,34600.0,59500.0,63.23060573857598
Greenwich,E09000011,74500.0,38000.0,36500.0,48.99328859060403
Hackney,E09000012,71200.0,24200.0,47000.0,66.01123595505618
Hammersmith and Fulham,E09000013,36400.0,18300.0,18100.0,49.72527472527473
Haringey,E09000014,62900.0,39700.0,23200.0,36.88394276629571
Harrow,E09000015,58500.0,23100.0,35400.0,60.51282051282051
Havering,E09000016,57900.0,31400.0,26500.0,45.76856649395509
Hillingdon,E09000017,79000.0,36600.0,42400.0,53.67088607594936
Hounslow,E09000018,59500.0,17800.0,41700.0,70.08403361344537
Islington,E09000019,41700.0,18200.0,23500.0,56.35491606714629
Kensington and Chelsea,E09000020,30500.0,12800.0,17700.0,58.032786885245905
Kingston upon Thames,E09000021,45200.0,26900.0,18300.0,40.48672566371682
Lambeth,E09000022,58200.0,33800.0,24400.0,41.92439862542955
Lewisham,E09000023,75300.0,44900.0,30400.0,40.37184594953519
Merton,E09000024,49500.0,23200.0,26300.0,53.13131313131313
Newham,E09000025,87400.0,29100.0,58300.0,66.70480549199085
Redbridge,E09000026,82900.0,31600.0,51300.0,61.881785283474066
Richmond upon Thames,E09000027,50200.0,29900.0,20300.0,40.438247011952186
Southwark,E09000028,68900.0,34900.0,34000.0,49.34687953555878
Sutton,E09000029,50900.0,28100.0,22800.0,44.79371316306484
Tower Hamlets,E09000030,70700.0,20800.0,49900.0,70.57991513437058
Waltham Forest,E09000031,68200.0,32800.0,35400.0,51.90615835777126
Wandsworth,E09000032,58700.0,31400.0,27300.0,46.50766609880749
Westminster,E09000033,37500.0,13200.0,24300.0,64.8
* This estimate is potentially unreliable due to sample sizes.,,,,,
Counts are rounded to the nearest 100.,,,,,
